df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,acc_mag
48.349,1.069
48.379,1.075
48.409,1.071
48.439,1.076
48.469,1.078
48.499,1.078
48.529,1.076
48.559,1.079
48.589,1.072
48.619,1.073
48.649,1.070
48.679,1.073
48.709,1.076
48.739,1.073
48.769,1.073
48.799,1.077
48.829,1.077
48.859,1.073
48.889,1.068
48.919,1.077
48.949,1.083
48.979,1.079
49.009,1.071
49.039,1.071
49.069,1.073
49.099,1.080
49.129,1.076
49.159,1.074
49.189,1.077
49.219,1.077
49.249,1.077
49.279,1.072
49.309,1.074
49.339,1.074
49.369,1.076
49.399,1.073
49.429,1.076
49.459,1.075
49.489,1.078
49.519,1.079
49.549,1.071
49.579,1.070
49.609,1.075
49.639,1.076
49.669,1.074
49.699,1.077
49.729,1.070
49.759,1.075
49.789,1.075
49.819,1.075
49.849,1.076
49.879,1.073
49.909,1.075
49.939,1.073
49.969,1.072
49.999,1.074
50.029,1.069
50.059,1.079
50.089,1.075
50.119,1.074
50.149,1.077
50.179,1.078
50.209,1.075
50.239,1.070
50.269,1.071
50.299,1.071
50.329,1.077
50.359,1.077
50.389,1.076
50.419,1.069
50.449,1.074
50.479,1.081
50.509,1.072
50.539,1.071
50.569,1.077
50.599,1.071
50.629,1.072
50.659,1.075
50.689,1.077
50.719,1.074
50.749,1.069
50.779,1.075
50.809,1.076
50.839,1.074
50.869,1.075
50.899,1.077
50.929,1.075
50.959,1.074
50.989,1.070
51.019,1.079
51.049,1.079
51.079,1.075
51.109,1.073
51.139,1.075
51.169,1.074
51.199,1.073
51.229,1.073
51.259,1.078
51.289,1.071
51.319,1.068
51.349,1.078
51.379,1.075
51.409,1.076
51.439,1.074
51.469,1.077
51.499,1.072
51.529,1.078
51.559,1.075
51.589,1.075
51.619,1.078
51.649,1.075
51.679,1.071
51.709,1.067
51.739,1.079
51.769,1.077
51.799,1.072
51.829,1.074
51.859,1.071
51.889,1.079
51.919,1.077
51.949,1.078
51.979,1.079
52.009,1.073
52.039,1.072
52.069,1.073
52.099,1.076
52.129,1.072
52.159,1.077
52.189,1.076
52.219,1.078
52.249,1.072
52.279,1.078
